Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdY/90,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
139,Osama Malik,au AUS,DF,Odisha,31,1990,12.2,1,0.08,0,0,5,7,1,1,13,10,0
140,Saurav Mandal,in IND,MF,Kerala Blasters,21,2000,2.8,1,0.36,0,0,4,4,1,14,3,4,0
141,Pedro Martín,es ESP,"FW,MF",Odisha,30,1992,9.1,3,0.33,0,0,19,11,7,6,1,3,0
142,Glan Martins,in IND,MF,Goa,28,1994,5.2,0,0,0,0,10,2,1,3,5,13,0
143,Glan Martins,in IND,MF,Mohun Bagan,28,1994,5.2,0,0,0,0,8,6,1,4,17,15,0
144,Diego Maurício,br BRA,FW,Odisha,31,1991,16,2,0.13,0,0,10,21,15,6,0,11,0
145,Jerry Mawihmingthanga,in IND,"FW,MF",Odisha,25,1997,14.5,1,0.07,0,0,12,16,2,31,6,14,0
146,Kule Mbombo,cd COD,"FW,MF",NorthEast Utd,26,1996,4.9,0,0,0,0,6,8,3,1,0,0,0
147,Carl McHugh,ie IRL,MF,Mohun Bagan,29,1993,12.2,3,0.25,0,0,26,9,0,1,15,26,0
148,Ninthoinganba Meetei,in IND,MF,Chennaiyin,21,2001,5.7,0,0,0,0,0,4,2,13,2,10,0
149,Denechandra Meitei,in IND,DF,Odisha,28,1994,5.6,1,0.18,0,0,6,4,0,19,11,8,0
150,Mirshad Michu,in IND,GK,NorthEast Utd,28,1994,10,2,0.2,0,0,2,3,0,0,0,0,0
151,Bryce Miranda,in IND,MF,Kerala Blasters,22,1999,3.9,0,0,0,0,2,6,0,27,3,10,0
152,Akash Mishra,in IND,DF,Hyderabad FC,20,2001,17,4,0.24,0,0,20,15,2,39,28,28,0
153,Samik Mitra,in IND,GK,Chennaiyin,21,2000,10,3,0.3,0,0,0,2,0,0,0,0,0
154,Yasir Mohammad,in IND,MF,Hyderabad FC,22,1999,16.7,0,0,0,0,12,22,2,73,10,11,0
155,Manoj Mohammed,in IND,DF,Hyderabad FC,23,1999,3,0,0,0,0,2,1,0,3,3,1,0
156,Vibin Mohanan,in IND,MF,Kerala Blasters,19,2003,1.1,1,0.91,0,0,1,1,0,0,0,3,0
157,Fardin Molla,in IND,FW,Mohun Bagan,20,2002,1.3,0,0,0,0,2,3,0,0,0,0,0
158,Hira Mondal,in IND,DF,NorthEast Utd,25,1996,4.3,1,0.23,0,0,1,11,1,4,8,2,0
159,Víctor Mongil,es ESP,DF,Kerala Blasters,30,1992,8.4,1,0.12,0,0,4,6,0,1,18,7,0
160,Jithin MS,in IND,"FW,MF",NorthEast Utd,24,1998,11.5,0,0,0,0,11,12,0,28,5,15,0
161,Ankit Mukherjee,in IND,DF,East Bengal,26,1996,7.6,2,0.26,0,0,9,2,1,6,17,7,0
162,Devendra Murgaokar,in IND,MF,Goa,23,1998,4.1,0,0,0,0,5,9,1,15,2,8,0
163,Halicharan Narzary,in IND,MF,Hyderabad FC,27,1994,13.9,0,0,0,0,10,9,1,52,13,10,0
164,Kiyan Nassiri,in IND,MF,Mohun Bagan,21,2000,3.2,1,0.31,0,0,6,4,2,10,1,1,0
165,Gyamar Nikum,in IND,MF,Mumbai City,17,2004,0.1,0,0,0,0,0,0,0,1,0,0,0
166,Alberto Noguera,es ESP,MF,Mumbai City,32,1989,10,1,0.1,0,0,18,36,0,14,10,21,0
167,Rupert Nongrum,in IND,MF,NorthEast Utd,25,1996,0.1,0,0,0,0,0,0,0,1,0,1,0
168,Halen Nongtdu,in IND,DF,Mumbai City,18,2004,1,0,0,0,0,0,0,0,1,0,0,0
169,Jordan O'Doherty,au AUS,MF,East Bengal,24,1997,12.3,1,0.08,0,0,5,8,0,22,12,16,0
170,Bartholomew Ogbeche,ng NGA,"MF,FW",Hyderabad FC,37,1984,16.1,0,0,0,0,18,25,4,3,6,12,0
171,Odei Onaindia,es ESP,DF,Hyderabad FC,32,1989,19,2,0.11,0,0,14,0,1,2,20,6,0
172,Ishan Pandita,in IND,FW,Jamshedpur,24,1998,7,0,0,0,0,4,5,3,4,3,3,0
173,Sahil Panwar,in IND,DF,Odisha,22,1999,14.7,3,0.2,1,1,21,3,0,68,17,22,0
174,Sumeet Passi,in IND,"MF,FW",East Bengal,27,1994,4.7,4,0.85,0,0,5,2,0,4,4,0,0
175,Laldinpuia PC,in IND,"MF,DF",Jamshedpur,25,1996,3.3,0,0,0,0,3,4,0,2,5,1,0
176,Sanson Pereira,in IND,DF,Goa,24,1997,7.5,1,0.13,0,0,11,3,0,12,6,12,0
177,Jorge Pereyra Díaz,ar ARG,FW,Mumbai City,31,1990,14.3,6,0.42,0,0,11,13,8,2,1,4,0
178,Pablo Pérez,es ESP,MF,Bengaluru,28,1993,2.5,1,0.4,0,0,2,5,0,1,3,1,0
179,Dimitri Petratos,au AUS,FW,Mohun Bagan,29,1992,18.5,1,0.05,0,0,5,7,16,123,2,3,0
180,Romain Philippoteaux,fr FRA,"MF,FW",NorthEast Utd,34,1988,14.8,1,0.07,0,0,6,17,6,42,13,2,0
181,Florentin Pogba,gn GUI,DF,Mohun Bagan,31,1990,0.3,0,0,0,0,1,0,0,0,0,0,0
182,Nikhil Poojari,in IND,DF,Hyderabad FC,26,1995,18.1,2,0.11,0,0,16,19,0,42,14,24,0
183,Nikhil Prabhu,in IND,DF,Odisha,21,2000,1,1,1,0,0,0,0,0,0,2,1,0
184,Nikhil Prabhu,in IND,DF,Goa,21,2000,0.8,0,0,0,0,1,1,0,0,4,2,0
185,Wellington Priori,br BRA,"MF,FW",Jamshedpur,32,1990,4,1,0.25,0,0,8,0,1,28,4,11,0
186,Mohammed Rafique,in IND,DF,Chennaiyin,29,1992,1.2,0,0,0,0,0,1,0,0,3,1,0
187,Mobashir Rahman,in IND,MF,East Bengal,24,1998,8.9,3,0.34,1,1,12,4,0,16,18,6,0
188,Asish Rai,in IND,"DF,MF",Mohun Bagan,23,1999,19.2,2,0.1,0,0,16,19,1,37,41,26,0
189,Vinit Rai,in IND,"MF,DF",Mumbai City,24,1997,4.7,1,0.21,0,0,8,3,2,6,3,6,0
190,Soosai Raj,in IND,MF,Odisha,27,1994,0.1,0,0,0,0,0,0,0,0,0,0,0
191,Mohamad Rakip,in IND,DF,East Bengal,22,2000,2.7,2,0.74,0,0,1,0,0,6,3,5,0
192,Paul Ramfangzauva,in IND,MF,Odisha,23,1999,0.3,0,0,0,0,1,1,0,0,0,0,0
193,Bruno Ramires,br BRA,"MF,DF",Bengaluru,28,1994,9,0,0,0,0,8,1,0,6,11,14,0
194,Jayesh Rane,in IND,MF,Bengaluru,30,1991,2.7,1,0.37,0,0,4,2,0,1,4,3,0
195,Mandar Rao Dessai,in IND,DF,Mumbai City,30,1992,5.5,0,0,0,0,4,3,0,5,8,8,0
196,Princeton Rebello,in IND,MF,Goa,23,1999,0.9,0,0,0,0,3,1,0,2,3,0,0
197,Laldinliana Renthlei,in IND,DF,Jamshedpur,23,1998,15.4,3,0.19,0,0,19,7,0,25,27,20,0
198,Rochharzela,in IND,"FW,MF",NorthEast Utd,24,1998,5.6,3,0.54,0,0,10,4,0,23,3,9,0
199,Lenny Rodrigues,in IND,MF,Goa,35,1987,1,0,0,0,0,0,1,0,0,2,0,0
200,Lenny Rodrigues,in IND,MF,Mohun Bagan,35,1987,4.9,3,0.61,1,0,4,2,0,3,7,7,0
201,Víctor Rodríguez,es ESP,"MF,FW",Odisha,33,1989,4.7,0,0,0,0,1,8,0,26,2,2,0
202,P Rohlupuia,in IND,MF,Mumbai City,23,1999,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0
203,Noah Saadaoui,ma MAR,"MF,FW",Goa,29,1992,16.3,1,0.06,0,0,12,25,15,130,2,12,0
204,Eli Sabiá,br BRA,DF,Jamshedpur,33,1988,14.1,3,0.21,1,0,15,2,0,1,12,16,0
205,Sekh Sahil,in IND,MF,Jamshedpur,22,2000,0.8,0,0,0,0,1,0,0,0,0,0,0
206,Alex Saji,in IND,DF,NorthEast Utd,22,2000,6.7,4,0.6,0,0,13,3,1,5,7,15,1
207,Mohammad Sajid Dhot,in IND,DF,Chennaiyin,24,1997,0.3,0,0,0,0,0,0,0,0,0,1,0
208,Siva Sakthi,in IND,FW,Bengaluru,21,2001,9.9,0,0,0,0,12,12,14,11,4,8,0
209,Aakash Sangwan,in IND,DF,Chennaiyin,26,1995,17.4,0,0,0,0,14,7,0,112,35,28,0
210,Shubham Sarangi,in IND,DF,Odisha,22,2000,6.3,1,0.16,0,0,19,4,1,7,17,4,1
211,Harry Sawyer,au AUS,"FW,MF",Jamshedpur,25,1996,9.7,1,0.1,0,0,15,16,2,13,3,8,0
212,Suvam Sen,in IND,GK,East Bengal,32,1989,3,1,0.33,0,0,0,0,0,0,0,0,0
213,Hitesh Sharma,in IND,MF,Hyderabad FC,24,1997,12.9,2,0.16,0,0,23,13,0,4,10,12,0
214,Mashoor Shereef,in IND,DF,NorthEast Utd,29,1993,5.9,5,0.85,0,0,4,4,0,0,11,11,0
215,Parag Shrivas,in IND,DF,Bengaluru,25,1997,10.9,4,0.37,0,0,12,5,0,19,20,9,0
216,Cleiton Silva,br BRA,FW,East Bengal,35,1987,19.7,4,0.2,0,0,10,28,5,14,4,11,0
217,Amarjit Singh,in IND,MF,East Bengal,21,2001,0.1,0,0,0,0,0,1,0,0,0,0,0
218,Amrinder Singh,in IND,GK,Odisha,29,1993,20,3,0.15,0,0,0,2,0,0,2,2,0
219,Arshdeep Singh,in IND,GK,Goa,24,1997,1.4,0,0,0,0,0,0,0,0,0,0,0
220,Bidyashagar Singh,in IND,FW,Kerala Blasters,24,1998,0.3,0,0,0,0,0,0,0,0,0,0,0
221,Bipin Singh,in IND,"FW,MF",Mumbai City,27,1995,18.8,0,0,0,0,10,11,7,73,6,4,0
222,Dheeraj Singh,in IND,GK,Goa,22,2000,18.6,2,0.11,0,0,4,5,0,0,0,1,0
223,Germanpreet Singh,in IND,MF,Jamshedpur,26,1996,3.6,0,0,0,0,2,3,0,5,9,4,0
224,Gurkirat Singh,in IND,DF,Mumbai City,19,2003,1.2,0,0,0,0,7,6,1,3,0,2,0
225,Gurmeet Singh,in IND,GK,Hyderabad FC,23,1999,12,1,0.08,0,0,0,3,0,0,2,0,0
226,Gurmukh Singh,in IND,DF,Chennaiyin,23,1999,5.2,0,0,0,0,2,1,0,0,6,1,0
227,Gursimrat Singh,in IND,DF,Mumbai City,24,1997,0,0,#DIV/0!,0,0,0,1,0,0,0,0,0
228,Harmanpreeth Singh,in IND,MF,Bengaluru,20,2001,0.1,0,0,0,0,0,0,0,0,0,0,0
229,Jeakson Singh,in IND,MF,Kerala Blasters,21,2001,18.2,3,0.16,0,0,21,6,0,4,26,31,0
230,Jitendra Singh,in IND,MF,Jamshedpur,21,2001,8.1,2,0.25,0,0,4,6,0,4,13,11,0
231,Kamaljit Singh,in IND,GK,East Bengal,26,1995,17,1,0.06,0,0,0,0,0,0,1,3,0
232,Karanjit Singh,in IND,GK,Kerala Blasters,36,1986,2,0,0,0,0,0,0,0,0,1,0,0
233,Konsham Singh,in IND,DF,Hyderabad FC,25,1996,11.8,3,0.25,0,0,6,4,0,2,10,4,1
234,Manvir Singh,in IND,"MF,FW",Mohun Bagan,26,1995,12.4,1,0.08,0,0,10,9,2,16,5,9,0
235,Mehtab Singh,in IND,DF,Mumbai City,24,1998,18.4,3,0.16,0,0,6,3,1,1,23,11,1
236,Naorem Singh,in IND,"MF,FW",East Bengal,23,1999,16.9,1,0.06,0,0,12,17,1,86,5,26,0
237,Phijam Singh,in IND,MF,Jamshedpur,19,2003,2.3,0,0,0,0,0,0,0,1,1,5,0
238,Prabhsukhan Singh,in IND,GK,Kerala Blasters,21,2001,18,3,0.17,0,0,2,3,0,0,1,1,0
239,Reagan Singh,in IND,DF,Hyderabad FC,31,1991,2.3,0,0,0,0,3,4,0,9,0,3,0
240,Roshan Singh,in IND,"MF,FW",Bengaluru,23,1999,18.9,2,0.11,0,0,12,30,5,85,27,26,0
241,Sandeep Singh,in IND,DF,Kerala Blasters,27,1995,8.9,4,0.45,0,0,10,1,1,37,20,14,0
242,Gurpreet Singh Sandhu,in IND,GK,Bengaluru,30,1992,20,2,0.1,0,0,1,3,0,0,1,0,0
243,Sehnaj Singh,in IND,MF,NorthEast Utd,29,1993,0.6,0,0,0,0,2,0,0,0,1,0,0
244,Soraisam Singh,in IND,DF,East Bengal,26,1995,1,0,0,0,0,1,1,0,3,1,0,0
245,Suresh Singh,in IND,MF,Bengaluru,21,2000,16,4,0.25,0,0,33,13,0,8,21,10,0
246,Boris Singh Thangjam,in IND,"MF,FW",Jamshedpur,22,2000,17,3,0.18,0,0,16,29,2,48,5,31,0
247,Thoiba Singh,in IND,"MF,DF",Odisha,19,2002,18.4,3,0.16,0,0,23,16,0,15,13,13,0
248,Tondonba Singh,in IND,DF,NorthEast Utd,27,1994,6.2,0,0,0,0,2,5,1,22,10,5,0
249,Udanta Singh,in IND,"MF,FW",Bengaluru,26,1996,5.1,1,0.2,0,0,4,7,2,17,4,1,0
250,Vikram Singh,in IND,MF,Mumbai City,20,2002,3,3,1,0,0,8,11,1,9,2,7,0
251,Yumkhaibam Singh,in IND,MF,Chennaiyin,20,2001,11.1,2,0.18,0,0,18,8,0,15,23,17,0
252,Siverio,es ESP,FW,Hyderabad FC,24,1997,11.5,1,0.09,0,0,19,19,5,0,2,3,0
253,Petar Slišković,hr CRO,FW,Chennaiyin,31,1991,15.4,1,0.06,0,0,12,13,13,1,1,4,0
254,Sanjeev Stalin,in IND,DF,Mumbai City,21,2001,7.4,1,0.14,0,0,12,2,0,1,8,9,0
255,Greg Stewart,sct SCO,"MF,FW",Mumbai City,32,1990,14.9,3,0.2,0,0,12,33,6,42,6,16,0
256,Nihal Sudeesh,in IND,FW,Kerala Blasters,21,2001,1.2,0,0,0,0,1,2,0,1,0,2,0
257,Syed Suhail Pasha,in IND,FW,Chennaiyin,22,1999,0.3,0,0,0,0,0,0,0,0,0,2,0
258,Parthib Sundar Gogoi,in IND,"FW,MF",NorthEast Utd,19,2003,9.5,2,0.21,0,0,8,6,1,15,10,6,0
259,Pragyan Sundar Gogoi,in IND,MF,NorthEast Utd,23,1999,11.3,4,0.35,0,0,14,8,0,8,16,9,0
260,Edwin Sydney Vanspaul,in IND,"MF,DF",Chennaiyin,29,1992,11.1,1,0.09,0,0,8,9,1,32,19,15,0
261,Nim Tamang,in IND,DF,Hyderabad FC,26,1995,9.1,0,0,0,0,6,3,0,0,10,5,1
262,Deepak Tangri,in IND,"MF,DF",Mohun Bagan,23,1999,8.3,2,0.24,0,0,14,0,1,1,12,17,0
263,Sahil Tavora,in IND,MF,Hyderabad FC,26,1995,6.8,2,0.29,0,0,8,9,0,4,9,10,0
264,Anirudh Thapa,in IND,MF,Chennaiyin,24,1998,13.2,2,0.15,0,0,6,15,3,46,9,3,0
265,Redeem Tlang,in IND,MF,Goa,27,1995,10.2,2,0.2,0,0,13,11,3,29,8,23,0
266,Rehenesh TP,in IND,GK,Jamshedpur,29,1993,11,0,0,0,0,0,0,0,0,0,0,0
267,Akshunna Tyagi,in IND,FW,Odisha,20,2001,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0
268,Athul Unnikrishnan,in IND,DF,East Bengal,22,2000,0.1,0,0,0,0,0,0,0,1,0,0,0
269,Muhammed Uvais,in IND,"DF,MF",Jamshedpur,24,1998,3.2,1,0.31,0,0,2,0,1,3,4,4,0
270,Suhair V. P.,in IND,"MF,FW",East Bengal,30,1992,14.9,8,0.54,0,0,39,19,11,33,11,20,0
271,Marc Valiente,es ESP,DF,Goa,35,1987,5.4,1,0.19,0,0,2,0,0,0,4,1,0
272,Isak Vanlalruatfela,in IND,"MF,FW",Odisha,21,2001,4.1,0,0,0,0,3,3,2,10,2,7,0
273,Isaac Vanmalsawma,in IND,"MF,FW",Odisha,25,1996,9.5,2,0.21,0,0,6,11,0,36,8,12,0
274,Bijoy Varghese,in IND,DF,Kerala Blasters,22,2000,0.1,0,0,0,0,0,0,0,0,0,0,0
275,Álvaro Vázquez,es ESP,FW,Goa,31,1991,8.8,1,0.11,0,0,2,10,6,6,3,3,0
276,João Victor,br BRA,MF,Hyderabad FC,33,1988,10.5,1,0.1,0,0,16,14,1,2,15,8,0
277,Vishal Yadav,in IND,GK,Jamshedpur,20,2002,9,0,0,0,0,0,1,0,0,0,0,0
278,Joe Zoherliana,in IND,DF,NorthEast Utd,23,1999,9.5,2,0.21,0,0,17,5,1,11,9,14,1
279,Mark Zothanpuia,in IND,MF,Hyderabad FC,20,2002,0.2,0,0,0,0,0,0,0,1,0,0,0
