Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
156,Glan Martins,in IND,MF,Goa,28,1994,9,471,52,26.2,5.2,4,67,0,5,41,2,1.78,7,6,1,0.19,0.19,Matches
157,Glan Martins,in IND,MF,Mohun Bagan,28,1994,6,472,79,26.2,5.2,6,79,2,0,,0,1.5,4,2,2,0.38,0.04,Matches
158,Diego MaurÃ­cio,br BRA,FW,Odisha,31,1991,20,1442,72,80.1,16,17,80,11,3,30,0,1.43,26,32,-6,-0.37,-1.38,Matches
159,Jerry Mawihmingthanga,in IND,"FW,MF",Odisha,25,1997,19,1301,68,72.3,14.5,13,83,7,6,38,0,1.45,22,23,-1,-0.07,0.11,Matches
160,Kule Mbombo,cd COD,"FW,MF",NorthEast Utd,26,1996,6,445,74,24.7,4.9,6,74,2,0,,1,0.33,4,15,-11,-2.22,-0.63,Matches
161,Carl McHugh,ie IRL,MF,Mohun Bagan,29,1993,17,1101,65,61.2,12.2,12,84,9,5,18,0,1.62,12,10,2,0.16,-0.48,Matches
162,Ninthoinganba Meetei,in IND,MF,Chennaiyin,21,2001,12,516,43,28.7,5.7,5,74,1,7,21,2,1.33,8,11,-3,-0.52,-0.66,Matches
163,Denechandra Meitei,in IND,DF,Odisha,28,1994,13,507,39,28.2,5.6,4,70,1,9,25,6,1.43,11,11,0,0,0.14,Matches
164,Mirshad Michu,in IND,GK,NorthEast Utd,28,1994,10,900,90,50,10,10,90,10,0,,10,0.4,8,25,-17,-1.7,0.1,Matches
165,Bryce Miranda,in IND,MF,Kerala Blasters,22,1999,12,351,29,19.5,3.9,4,62,0,8,13,6,1.25,4,2,2,0.51,0.64,Matches
166,Dipu Mirdha,in IND,FW,NorthEast Utd,23,1999,0,,,,,0,,0,0,,4,,,,,,,Matches
167,Akash Mishra,in IND,DF,Hyderabad FC,20,2001,17,1530,90,85,17,17,90,17,0,,0,2.11,29,10,19,1.12,0.78,Matches
168,Samik Mitra,in IND,GK,Chennaiyin,21,2000,10,900,90,50,10,10,90,10,0,,2,1.3,16,16,0,0,0.1,Matches
169,Yasir Mohammad,in IND,MF,Hyderabad FC,22,1999,18,1503,84,83.5,16.7,18,84,3,0,,0,2.05,25,12,13,0.78,-1.34,Matches
170,Manoj Mohammed,in IND,DF,Hyderabad FC,23,1999,3,270,90,15,3,3,90,3,0,,17,1.33,7,6,1,0.33,-0.78,Matches
171,Vibin Mohanan,in IND,MF,Kerala Blasters,19,2003,3,102,34,5.7,1.1,1,90,1,2,6,6,0.75,0,1,-1,-0.88,-0.94,Matches
172,Fardin Molla,in IND,FW,Mohun Bagan,20,2002,10,113,11,6.3,1.3,1,45,0,9,8,10,0.6,1,2,-1,-0.8,-1.22,Matches
173,Hira Mondal,in IND,DF,NorthEast Utd,25,1996,6,390,65,21.7,4.3,5,74,3,1,18,0,0.33,7,13,-6,-1.38,0.47,Matches
174,Hira Mondal,in IND,DF,Bengaluru,25,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
175,VÃ­ctor Mongil,es ESP,DF,Kerala Blasters,30,1992,18,758,42,42.1,8.4,8,87,7,10,6,1,1.63,7,15,-8,-0.95,-1.64,Matches
176,Jithin MS,in IND,"FW,MF",NorthEast Utd,24,1998,16,1034,65,57.4,11.5,12,75,3,4,33,1,0.13,10,35,-25,-2.18,-1,Matches
177,Wungngayam Muirang,in IND,DF,Bengaluru,23,1999,0,,,,,0,,0,0,,5,,,,,,,Matches
178,Ankit Mukherjee,in IND,DF,East Bengal,26,1996,10,682,68,37.9,7.6,9,76,5,1,2,2,1.2,8,16,-8,-1.06,-0.41,Matches
179,Devendra Murgaokar,in IND,MF,Goa,23,1998,12,372,31,20.7,4.1,4,69,0,8,12,8,1.42,12,13,-1,-0.24,-0.37,Matches
180,Halicharan Narzary,in IND,MF,Hyderabad FC,27,1994,17,1248,73,69.3,13.9,15,78,3,2,38,0,2.11,25,7,18,1.3,0.97,Matches
181,Kiyan Nassiri,in IND,MF,Mohun Bagan,21,2000,14,286,20,15.9,3.2,1,74,0,13,16,5,1.31,4,3,1,0.31,-0.04,Matches
182,Mohammad Nawaz,in IND,GK,Mumbai City,22,2000,0,,,,,0,,0,0,,10,,,,,,,Matches
183,Gyamar Nikum,in IND,MF,Mumbai City,17,2004,1,8,8,0.4,0.1,0,,0,1,8,0,0,0,0,0,0,-1.66,Matches
184,Alberto Noguera,es ESP,MF,Mumbai City,32,1989,19,896,47,49.8,10,6,87,5,13,29,1,2.15,20,9,11,1.1,-1.09,Matches
185,Rupert Nongrum,in IND,MF,NorthEast Utd,25,1996,1,7,7,0.4,0.1,0,,0,1,7,4,0,0,2,-2,-25.71,-24.06,Matches
186,Halen Nongtdu,in IND,DF,Mumbai City,18,2004,1,90,90,5,1,1,90,1,0,,3,0,0,1,-1,-1,-2.79,Matches
187,Jordan O'Doherty,au AUS,MF,East Bengal,24,1997,18,1105,61,61.4,12.3,13,82,8,5,8,1,0.89,15,27,-12,-0.98,-0.46,Matches
188,Bartholomew Ogbeche,ng NGA,"MF,FW",Hyderabad FC,37,1984,19,1453,76,80.7,16.1,17,83,8,2,23,0,1.95,31,13,18,1.11,0.6,Matches
189,Odei Onaindia,es ESP,DF,Hyderabad FC,32,1989,19,1710,90,95,19,19,90,19,0,,1,2.1,34,13,21,1.11,2.11,Matches
190,Ishan Pandita,in IND,FW,Jamshedpur,24,1998,17,634,37,35.2,7,6,83,5,11,13,2,0.88,7,11,-4,-0.57,-0.03,Matches
191,Sahil Panwar,in IND,DF,Odisha,22,1999,17,1323,78,73.5,14.7,16,80,11,1,45,1,1.33,19,22,-3,-0.2,-0.39,Matches
192,Sumeet Passi,in IND,"MF,FW",East Bengal,27,1994,11,426,39,23.7,4.7,4,75,2,7,18,7,0.64,7,15,-8,-1.69,-1.17,Matches
193,Laldinpuia PC,in IND,"MF,DF",Jamshedpur,25,1996,8,300,38,16.7,3.3,4,53,0,4,23,2,0.75,2,7,-5,-1.5,-1.14,Matches
194,Sanson Pereira,in IND,DF,Goa,24,1997,12,678,57,37.7,7.5,6,81,2,6,33,3,1,15,15,0,0,-0.08,Matches
195,Jorge Pereyra DÃ­az,ar ARG,FW,Mumbai City,31,1990,18,1289,72,71.6,14.3,16,78,6,2,24,1,2.2,46,15,31,2.16,1.81,Matches
196,Pablo PÃ©rez,es ESP,MF,Bengaluru,28,1993,11,226,21,12.6,2.5,1,69,0,10,16,0,2.07,6,3,3,1.19,1.14,Matches
197,Dimitri Petratos,au AUS,FW,Mohun Bagan,29,1992,19,1668,88,92.7,18.5,19,88,16,0,,0,1.61,23,16,7,0.38,0.38,Matches
198,Romain Philippoteaux,fr FRA,"MF,FW",NorthEast Utd,34,1988,18,1332,74,74,14.8,16,81,9,2,21,0,0.28,13,41,-28,-1.89,-0.55,Matches
199,Florentin Pogba,gn GUI,DF,Mohun Bagan,31,1990,2,30,15,1.7,0.3,0,,0,2,15,1,3,2,1,1,3,2.69,Matches
200,Nikhil Poojari,in IND,DF,Hyderabad FC,26,1995,19,1631,86,90.6,18.1,19,86,13,0,,1,2.1,33,12,21,1.16,1.69,Matches
201,Nikhil Prabhu,in IND,DF,Odisha,21,2000,3,93,31,5.2,1,0,,0,3,31,9,2,5,1,4,3.87,4.19,Matches
202,Nikhil Prabhu,in IND,DF,Goa,21,2000,2,74,37,4.1,0.8,0,,0,2,37,2,0,1,3,-2,-2.43,-2.59,Matches
203,Wellington Priori,br BRA,"MF,FW",Jamshedpur,32,1990,6,356,59,19.8,4,5,68,3,1,17,0,0.67,4,6,-2,-0.51,0.06,Matches
204,Mohammed Rafique,in IND,DF,Chennaiyin,29,1992,3,112,37,6.2,1.2,1,90,1,2,11,11,1,8,4,4,3.21,3.48,Matches
205,Mobashir Rahman,in IND,MF,East Bengal,24,1998,13,802,62,44.6,8.9,9,81,4,4,17,5,0.92,9,17,-8,-0.9,-0.18,Matches
206,Asish Rai,in IND,"DF,MF",Mohun Bagan,23,1999,20,1724,86,95.8,19.2,20,86,12,0,,0,1.67,20,15,5,0.26,-2.11,Matches
207,Vinit Rai,in IND,"MF,DF",Mumbai City,24,1997,10,424,42,23.6,4.7,4,67,0,6,26,5,2.64,16,4,12,2.55,1.17,Matches
208,Soosai Raj,in IND,MF,Odisha,27,1994,1,11,11,0.6,0.1,0,,0,1,11,1,3,1,1,0,0,0.1,Matches
209,Mohamad Rakip,in IND,DF,East Bengal,22,2000,6,243,41,13.5,2.7,2,68,1,4,27,7,0.67,4,6,-2,-0.74,0.07,Matches
210,Lalthuammawia Ralte,in IND,GK,Odisha,29,1992,0,,,,,0,,0,0,,14,,,,,,,Matches
211,Paul Ramfangzauva,in IND,MF,Odisha,23,1999,2,23,12,1.3,0.3,0,,0,2,12,7,1.5,1,0,1,3.91,4.06,Matches
212,Bruno Ramires,br BRA,"MF,DF",Bengaluru,28,1994,12,812,68,45.1,9,9,89,7,3,5,1,1.88,8,10,-2,-0.22,-0.77,Matches
213,Jayesh Rane,in IND,MF,Bengaluru,30,1991,8,247,31,13.7,2.7,2,66,0,6,19,12,2.11,3,1,2,0.73,0.61,Matches
214,Mandar Rao Dessai,in IND,DF,Mumbai City,30,1992,9,496,55,27.6,5.5,5,65,1,4,42,11,2.1,12,10,2,0.36,-1.78,Matches
215,Sumit Rathi,in IND,DF,Mohun Bagan,20,2001,0,,,,,0,,0,0,,16,1,,,,,,Matches
216,Princeton Rebello,in IND,MF,Odisha,23,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
217,Princeton Rebello,in IND,MF,Goa,23,1999,3,77,26,4.3,0.9,1,58,0,2,10,7,1,0,2,-2,-2.34,-2.49,Matches
218,Cvl Remtluanga,in IND,MF,Odisha,21,2001,0,,,,,0,,0,0,,1,,,,,,,Matches
219,Laldinliana Renthlei,in IND,DF,Jamshedpur,23,1998,17,1390,82,77.2,15.4,16,84,11,1,45,1,0.88,15,24,-9,-0.58,-0.14,Matches
220,Rochharzela,in IND,"FW,MF",NorthEast Utd,24,1998,14,504,36,28,5.6,7,53,0,7,19,4,0.27,7,21,-14,-2.5,-1.04,Matches
221,Lenny Rodrigues,in IND,MF,Goa,35,1987,2,92,46,5.1,1,1,57,0,1,35,3,2,1,3,-2,-1.96,-2.11,Matches
222,Lenny Rodrigues,in IND,MF,Mohun Bagan,35,1987,9,444,49,24.7,4.9,3,84,1,6,32,2,1.89,5,3,2,0.41,0.07,Matches
223,VÃ­ctor RodrÃ­guez,es ESP,"MF,FW",Odisha,33,1989,13,423,33,23.5,4.7,2,79,1,11,24,4,1.36,11,11,0,0,0.13,Matches
224,P Rohlupuia,in IND,MF,Mumbai City,23,1999,1,2,2,0.1,0,0,,0,1,2,0,0,0,0,0,0,-1.65,Matches
225,Alexander Romario Jesuraj,in IND,MF,Chennaiyin,26,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
226,Bhaskar Roy,in IND,GK,Mumbai City,29,1993,0,,,,,0,,0,0,,10,,,,,,,Matches
227,Noah Saadaoui,ma MAR,"MF,FW",Goa,29,1992,20,1463,73,81.3,16.3,16,86,11,4,23,0,1.35,32,25,7,0.43,2.03,Matches
228,Eli SabiÃ¡,br BRA,DF,Jamshedpur,33,1988,15,1269,85,70.5,14.1,15,85,13,0,,1,0.87,16,23,-7,-0.5,0.18,Matches
229,Sekh Sahil,in IND,MF,Jamshedpur,22,2000,1,76,76,4.2,0.8,1,76,0,0,,5,0,1,3,-2,-2.37,-1.9,Matches
230,Alex Saji,in IND,DF,NorthEast Utd,22,2000,7,606,87,33.7,6.7,7,87,6,0,,0,0.29,6,18,-12,-1.78,-0.05,Matches
231,Alex Saji,in IND,DF,Hyderabad FC,22,2000,0,,,,,0,,0,0,,3,,,,,,,Matches
232,Mohammad Sajid Dhot,in IND,DF,Chennaiyin,24,1997,1,29,29,1.6,0.3,0,,0,1,29,2,0,0,2,-2,-6.21,-6.26,Matches
233,Siva Sakthi,in IND,FW,Bengaluru,21,2001,17,894,53,49.7,9.9,12,71,2,5,8,2,1.86,19,9,10,1.01,1.6,Matches
234,Aakash Sangwan,in IND,DF,Chennaiyin,26,1995,19,1565,82,86.9,17.4,16,90,15,3,42,1,1.37,35,34,1,0.06,0.82,Matches
235,Shubham Sarangi,in IND,DF,Odisha,22,2000,8,564,71,31.3,6.3,6,83,4,2,33,5,1.56,9,8,1,0.16,0.38,Matches
236,Harry Sawyer,au AUS,"FW,MF",Jamshedpur,25,1996,18,875,49,48.6,9.7,8,77,2,10,26,2,1.06,12,17,-5,-0.51,0.07,Matches
237,Suvam Sen,in IND,GK,East Bengal,32,1989,3,270,90,15,3,3,90,3,0,,13,1,4,6,-2,-0.67,0.16,Matches
238,Senthamil Shanbagam,in IND,FW,Chennaiyin,22,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
239,Hitesh Sharma,in IND,MF,Hyderabad FC,24,1997,17,1163,68,64.6,12.9,17,68,0,0,,0,2.16,20,7,13,1.01,0.02,Matches
240,Mashoor Shereef,in IND,DF,NorthEast Utd,29,1993,8,533,67,29.6,5.9,6,77,3,2,36,7,0.13,8,18,-10,-1.69,0.09,Matches
241,Parag Shrivas,in IND,DF,Bengaluru,25,1997,16,982,61,54.6,10.9,10,83,7,6,25,3,1.89,18,11,7,0.64,0.97,Matches
242,Cleiton Silva,br BRA,FW,East Bengal,35,1987,20,1773,89,98.5,19.7,20,89,15,0,,0,0.95,20,37,-17,-0.86,-4.2,Matches
243,Amarjit Singh,in IND,MF,East Bengal,21,2001,1,11,11,0.6,0.1,0,,0,1,11,10,0,1,2,-1,-8.18,-7.43,Matches
244,Amrinder Singh,in IND,GK,Odisha,29,1993,20,1800,90,100,20,20,90,20,0,,0,1.43,30,32,-2,-0.1,,Matches
245,Arshdeep Singh,in IND,GK,Goa,24,1997,2,122,61,6.8,1.4,1,90,1,1,32,18,1.5,1,1,0,0,-0.05,Matches
246,Bidyashagar Singh,in IND,FW,Kerala Blasters,24,1998,6,25,4,1.4,0.3,0,,0,6,4,14,1.17,2,1,1,3.6,3.65,Matches
247,Bipin Singh,in IND,"FW,MF",Mumbai City,27,1995,20,1693,85,94.1,18.8,20,85,13,0,,0,2.14,53,20,33,1.75,1.75,Matches
248,Dheeraj Singh,in IND,GK,Goa,22,2000,19,1678,88,93.2,18.6,19,88,18,0,,1,1.42,35,34,1,0.05,0.05,Matches
249,Engson Singh,in IND,MF,Mohun Bagan,19,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
250,Germanpreet Singh,in IND,MF,Jamshedpur,26,1996,5,323,65,17.9,3.6,4,73,1,1,33,5,0.8,5,6,-1,-0.28,0.33,Matches
251,Givson Singh,in IND,MF,Chennaiyin,20,2002,0,,,,,0,,0,0,,1,,,,,,,Matches
252,Gurkirat Singh,in IND,DF,Mumbai City,19,2003,9,110,12,6.1,1.2,0,,0,9,12,8,2.44,0,2,-2,-1.64,-3.5,Matches
253,Gurmeet Singh,in IND,GK,Hyderabad FC,23,1999,12,1080,90,60,12,12,90,12,0,,1,2,24,9,15,1.25,0.62,Matches
254,Gurmukh Singh,in IND,DF,Chennaiyin,23,1999,10,472,47,26.2,5.2,5,81,4,5,13,6,1.7,13,10,3,0.57,0.84,Matches
255,Gursimrat Singh,in IND,DF,Mumbai City,24,1997,1,2,2,0.1,0,0,,0,1,2,2,0,0,0,0,0,-1.65,Matches
256,Harmanpreeth Singh,in IND,MF,Bengaluru,20,2001,1,5,5,0.3,0.1,0,,0,1,5,9,0,0,0,0,0,-0.2,Matches
257,Jeakson Singh,in IND,MF,Kerala Blasters,21,2001,19,1641,86,91.2,18.2,19,86,12,0,,1,1.55,28,26,2,0.11,1.24,Matches
258,Jitendra Singh,in IND,MF,Jamshedpur,21,2001,13,733,56,40.7,8.1,7,82,5,6,26,6,0.77,4,14,-10,-1.23,-1.14,Matches
259,Kamaljit Singh,in IND,GK,East Bengal,26,1995,17,1530,90,85,17,17,90,17,0,,0,0.94,18,32,-14,-0.82,-0.16,Matches
260,Karanjit Singh,in IND,GK,Kerala Blasters,36,1986,2,180,90,10,2,2,90,2,0,,18,1.5,2,1,1,0.5,0.56,Matches
261,Konsham Singh,in IND,DF,Hyderabad FC,25,1996,12,1058,88,58.8,11.8,12,88,10,0,,6,1.93,17,9,8,0.68,-0.77,Matches
262,Manvir Singh,in IND,"MF,FW",Mohun Bagan,26,1995,14,1118,80,62.1,12.4,14,80,5,0,,0,1.67,14,14,0,0,-0.92,Matches
263,Mehtab Singh,in IND,DF,Mumbai City,24,1998,19,1654,87,91.9,18.4,18,90,18,1,34,0,2.24,53,18,35,1.9,3.14,Matches
264,Naorem Singh,in IND,"MF,FW",East Bengal,23,1999,19,1517,80,84.3,16.9,18,82,11,1,45,0,1,20,31,-11,-0.65,0.94,Matches
265,Phijam Singh,in IND,MF,Jamshedpur,19,2003,4,208,52,11.6,2.3,3,66,0,1,10,13,0.25,3,5,-2,-0.87,-0.36,Matches
266,Prabhsukhan Singh,in IND,GK,Kerala Blasters,21,2001,18,1620,90,90,18,18,90,18,0,,0,1.47,26,27,-1,-0.06,-0.56,Matches
267,Reagan Singh,in IND,DF,Hyderabad FC,31,1991,7,208,30,11.6,2.3,2,61,0,5,17,7,1,2,5,-3,-1.3,-2.6,Matches
268,Roshan Singh,in IND,"MF,FW",Bengaluru,23,1999,20,1701,85,94.5,18.9,20,85,14,0,,0,1.75,27,21,6,0.32,2.14,Matches
269,Sandeep Singh,in IND,DF,Kerala Blasters,27,1995,9,801,89,44.5,8.9,9,89,8,0,,4,2.44,17,8,9,1.01,1.82,Matches
270,Gurpreet Singh Sandhu,in IND,GK,Bengaluru,30,1992,20,1800,90,100,20,20,90,20,0,,0,1.75,27,23,4,0.2,,Matches
271,Sehnaj Singh,in IND,MF,NorthEast Utd,29,1993,1,52,52,2.9,0.6,1,52,0,0,,3,0,1,3,-2,-3.46,-1.76,Matches
272,Soraisam Singh,in IND,DF,East Bengal,26,1995,2,89,45,4.9,1,1,88,0,1,1,11,1.5,2,4,-2,-2.02,-1.29,Matches
273,Suresh Singh,in IND,MF,Bengaluru,21,2000,18,1439,80,79.9,16,17,83,9,1,32,1,1.77,23,20,3,0.19,-0.06,Matches
274,Saphaba Singh Telem,in IND,DF,Jamshedpur,19,2003,0,,,,,0,,0,0,,4,,,,,,,Matches
275,Boris Singh Thangjam,in IND,"MF,FW",Jamshedpur,22,2000,20,1534,77,85.2,17,18,81,8,2,42,0,0.95,18,27,-9,-0.53,0.15,Matches
276,Thoi Singh,in IND,FW,Bengaluru,18,2004,0,,,,,0,,0,0,,1,,,,,,,Matches
277,Thoiba Singh,in IND,"MF,DF",Odisha,19,2002,20,1657,83,92.1,18.4,19,85,13,1,36,0,1.43,26,30,-4,-0.22,-1.48,Matches
278,Tondonba Singh,in IND,DF,NorthEast Utd,27,1994,8,562,70,31.2,6.2,6,86,4,2,23,3,0.5,7,17,-10,-1.6,0.22,Matches
279,Udanta Singh,in IND,"MF,FW",Bengaluru,26,1996,15,461,31,25.6,5.1,3,81,2,12,18,1,1.88,5,6,-1,-0.2,-0.53,Matches
280,Vikram Singh,in IND,MF,Mumbai City,20,2002,17,273,16,15.2,3,0,,0,17,16,2,2.26,5,4,1,0.33,-1.56,Matches
281,Yumkhaibam Singh,in IND,MF,Chennaiyin,20,2001,16,996,62,55.3,11.1,10,82,6,6,29,0,1.31,16,17,-1,-0.09,-0.09,Matches
282,Siverio,es ESP,FW,Hyderabad FC,24,1997,20,1033,52,57.4,11.5,12,74,2,8,18,0,2,22,8,14,1.22,0.52,Matches
283,Petar SliÅ¡koviÄ‡,hr CRO,FW,Chennaiyin,31,1991,17,1383,81,76.8,15.4,17,81,8,0,,0,1.06,24,28,-4,-0.26,-0.91,Matches
284,Sanjeev Stalin,in IND,DF,Mumbai City,21,2001,11,666,61,37,7.4,8,75,3,3,22,9,2,13,7,6,0.81,-1.33,Matches
285,Greg Stewart,sct SCO,"MF,FW",Mumbai City,32,1990,18,1341,75,74.5,14.9,17,78,8,1,14,0,2.35,45,15,30,2.01,1.43,Matches
286,Nihal Sudeesh,in IND,FW,Kerala Blasters,21,2001,5,108,22,6,1.2,0,,0,5,22,6,1.2,1,2,-1,-0.83,-0.89,Matches
287,Syed Suhail Pasha,in IND,FW,Chennaiyin,22,1999,2,25,13,1.4,0.3,0,,0,2,13,3,1.5,0,2,-2,-7.2,-7.25,Matches
288,Parthib Sundar Gogoi,in IND,"FW,MF",NorthEast Utd,19,2003,18,858,48,47.7,9.5,9,72,3,9,24,2,0.22,10,27,-17,-1.78,-0.06,Matches
289,Pragyan Sundar Gogoi,in IND,MF,NorthEast Utd,23,1999,16,1017,64,56.5,11.3,12,76,3,4,25,2,0.31,9,32,-23,-2.04,-0.66,Matches
290,Sachin Suresh,in IND,GK,Kerala Blasters,21,2001,0,,,,,0,,0,0,,2,,,,,,,Matches
291,Edwin Sydney Vanspaul,in IND,"MF,DF",Chennaiyin,29,1992,19,997,52,55.4,11.1,10,76,4,9,27,1,1.42,26,20,6,0.54,1.33,Matches
292,Nim Tamang,in IND,DF,Hyderabad FC,26,1995,11,815,74,45.3,9.1,9,90,9,2,3,9,2.09,20,10,10,1.1,0.19,Matches
293,Deepak Tangri,in IND,"MF,DF",Mohun Bagan,23,1999,11,745,68,41.4,8.3,10,73,4,1,13,0,1.82,10,6,4,0.48,0.23,Matches
294,Sahil Tavora,in IND,MF,Hyderabad FC,26,1995,19,616,32,34.2,6.8,3,84,2,16,23,0,1.95,15,9,6,0.88,-0.19,Matches
295,Sebastian Thangmuansang,in IND,DF,Odisha,24,1998,0,,,,,0,,0,0,,6,,,,,,,Matches
296,Anirudh Thapa,in IND,MF,Chennaiyin,24,1998,16,1192,75,66.2,13.2,14,82,7,2,23,0,1.31,20,22,-2,-0.15,-0.3,Matches
297,Komal Thatal,in IND,MF,Jamshedpur,21,2000,0,,,,,0,,0,0,,5,,,,,,,Matches
298,Redeem Tlang,in IND,MF,Goa,27,1995,18,914,51,50.8,10.2,12,62,0,6,28,2,1.44,15,12,3,0.3,0.5,Matches
299,Rehenesh TP,in IND,GK,Jamshedpur,29,1993,11,990,90,55,11,11,90,11,0,,6,0.73,9,17,-8,-0.73,-0.39,Matches
300,Akshunna Tyagi,in IND,FW,Odisha,20,2001,1,1,1,0.1,0,0,,0,1,1,9,3,0,0,0,0,0.1,Matches
301,Athul Unnikrishnan,in IND,DF,East Bengal,22,2000,1,9,9,0.5,0.1,0,,0,1,9,4,0,0,0,0,0,0.8,Matches
302,Muhammed Uvais,in IND,"DF,MF",Jamshedpur,24,1998,6,288,48,16,3.2,3,67,1,3,29,9,0.67,3,7,-4,-1.25,-0.83,Matches
303,Suhair V. P.,in IND,"MF,FW",East Bengal,30,1992,18,1343,75,74.6,14.9,18,75,1,0,,0,1,15,20,-5,-0.34,1.83,Matches
304,Muhammed Vailiyattil,in IND,MF,Goa,20,2002,0,,,,,0,,0,0,,1,,,,,,,Matches
305,Marc Valiente,es ESP,DF,Goa,35,1987,8,483,60,26.8,5.4,7,66,0,1,21,5,1.5,5,11,-6,-1.12,-1.6,Matches
306,Isak Vanlalruatfela,in IND,"MF,FW",Odisha,21,2001,10,365,37,20.3,4.1,5,55,0,5,18,1,1.4,8,6,2,0.49,0.74,Matches
307,Isaac Vanmalsawma,in IND,"MF,FW",Odisha,25,1996,19,857,45,47.6,9.5,7,67,2,12,33,1,1.45,10,16,-6,-0.63,-1.01,Matches
308,Bijoy Varghese,in IND,DF,Kerala Blasters,22,2000,1,5,5,0.3,0.1,0,,0,1,5,2,0,0,0,0,0,0,Matches
309,Ãlvaro VÃ¡zquez,es ESP,FW,Goa,31,1991,17,795,47,44.2,8.8,7,74,2,10,28,2,1.24,12,21,-9,-1.02,-1.91,Matches
310,JoÃ£o Victor,br BRA,MF,Hyderabad FC,33,1988,12,944,79,52.4,10.5,10,89,9,2,30,0,1.93,16,6,10,0.95,-0.1,Matches
311,Vishal Yadav,in IND,GK,Jamshedpur,20,2002,9,810,90,45,9,9,90,9,0,,11,1.22,12,15,-3,-0.33,0.39,Matches
312,Bikash Yumnam,in IND,DF,Chennaiyin,18,2003,0,,,,,0,,0,0,,4,,,,,,,Matches
313,Joe Zoherliana,in IND,DF,NorthEast Utd,23,1999,12,853,71,47.4,9.5,9,87,7,3,24,3,0.33,13,23,-10,-1.06,1.32,Matches
314,Mark Zothanpuia,in IND,MF,Hyderabad FC,20,2002,2,21,11,1.2,0.2,0,,0,2,11,4,1.5,1,0,1,4.29,3.32,Matches
