Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,Cmp,Cmp,Cmp,Cmp%,Cmp%,Cmp%,Cmp,Cmp%
104,Leander D'Cunha,ma MAR,MF,Mumbai City,34,1988,19,1327,70,73.7,8.8,18,72,5,1,34,0,2.19,43,16,27,1.83,0.69,Matches,406,48,114,51.92,66,82.72,106,52.8
105,Michael Jakobsen,dk DEN,DF,NorthEast Utd,36,1986,10,849,85,47.2,14.08,10,85,7,0,,0,0,5,25,-20,-2.12,-0.7,Matches,248,38,32,54.56,68.64,69.52,66,60.72
106,Himanshu Jangra,in IND,MF,East Bengal,18,2004,6,151,25,8.4,9.68,1,40,0,5,22,1,1.17,2,3,-1,-0.6,0.22,Matches,11,76,214,48.4,62.48,61.6,47,57.2
107,Jake Jervis,eng ENG,FW,East Bengal,30,1991,5,435,87,24.2,14.08,5,87,4,0,,0,1.4,4,7,-3,-0.62,0.24,Matches,311,120,166,62.48,74.8,82.72,120,44.88
108,Ashish Jha,in IND,FW,Bengaluru,23,1999,0,,,,17.6,0,,0,0,,1,,,,,,,Matches,19,173,250,59.84,64.24,82.72,68,73.92
109,Sandesh Jhingan,in IND,DF,Bengaluru,29,1993,18,1620,90,90,13.2,18,90,18,0,,2,1.64,22,21,1,0.06,-1.44,Matches,197,153,232,57.2,66,70.4,59,40.48
110,Subhashish Bose,in IND,MF,Mohun Bagan,19,2002,1,3,3,0.2,17.2,0,,0,1,3,15,0,0,0,0,0,-0.35,Matches,1390,499,277,65.2,91.77,83.27,54,78.8
111,Lalbiakhlua Jongte,in IND,GK,Hyderabad FC,20,2002,1,90,90,5,11.44,1,90,1,0,,12,0,2,3,-1,-1,-2.11,Matches,388,76,218,50.16,67.76,73.92,104,53.68
112,Wilmar JordÃ¡n,co COL,"FW,MF",NorthEast Utd,31,1990,11,736,67,40.9,9.68,9,77,6,2,22,0,0.36,10,26,-16,-1.96,-0.35,Matches,56,191,70,44,74.8,64.24,90,58.96
113,Aleksandar JovanoviÄ‡,au AUS,DF,Bengaluru,32,1989,13,1078,83,59.9,13.2,13,83,7,0,,3,1.59,12,13,-1,-0.08,-0.71,Matches,241,148,27,67.76,71.28,66.88,71,45.76
114,Jobby Justin,in IND,FW,Chennaiyin,28,1993,5,58,12,3.2,16.72,0,,0,5,12,5,0.6,3,4,-1,-1.55,-1.55,Matches,77,50,25,68.64,71.28,82.72,46,43.12
115,Abdul Rabeeh A K,in IND,MF,Hyderabad FC,21,2001,16,312,20,17.3,11.44,1,90,1,15,15,4,1.94,10,6,4,1.15,0.19,Matches,318,176,180,47.52,72.16,73.04,56,55.44
116,Vishal Kaith,in IND,GK,Mohun Bagan,26,1996,20,1800,90,100,10.56,20,90,20,0,,0,1.67,24,17,7,0.35,,Matches,74,109,222,66.88,73.04,70.4,97,69.52
117,Ivan Kaliuzhnyi,ua UKR,MF,Kerala Blasters,24,1998,18,1246,69,69.2,15.84,15,80,6,3,17,1,1.56,19,20,-1,-0.07,-0.23,Matches,391,185,243,62.48,66.88,68.64,111,46.64
118,Rahul Kannoly Praveen,in IND,MF,Kerala Blasters,22,2000,18,1288,72,71.6,11.44,15,81,6,3,26,0,1.63,24,19,5,0.35,1.23,Matches,371,196,55,49.28,65.12,66.88,78,71.28
119,Kwame Karikari,gh GHA,FW,Chennaiyin,30,1992,16,540,34,30,11.44,3,87,2,13,21,1,1.31,14,11,3,0.5,0.79,Matches,443,28,168,69.52,70.4,71.28,74,48.4
120,Prasanth Karuthadathkuni,in IND,"MF,FW",Chennaiyin,25,1997,15,853,57,47.4,13.2,12,66,1,3,21,2,1.13,15,21,-6,-0.63,-1.11,Matches,219,169,86,61.6,66.88,64.24,83,73.92
121,Laxmikant Kattimani,in IND,GK,Hyderabad FC,33,1989,6,487,81,27.1,16.72,6,81,5,0,,0,2.67,9,3,6,1.11,0.15,Matches,261,16,64,66.88,69.52,70.4,110,65.12
122,Joni Kauko,fi FIN,MF,Mohun Bagan,32,1990,6,498,83,27.7,8.8,6,83,4,0,,0,1.67,12,8,4,0.72,0.52,Matches,173,138,187,55.44,71.28,63.36,91,74.8
123,Harmanjot Khabra,in IND,DF,Kerala Blasters,33,1988,7,540,77,30,15.84,7,77,3,0,,12,0.86,7,12,-5,-0.83,-1.19,Matches,310,105,118,57.2,70.4,73.92,125,44
124,Imran Khan,in IND,"MF,FW",NorthEast Utd,27,1994,14,478,34,26.6,14.96,4,78,0,10,17,3,0.07,5,14,-9,-1.69,0.08,Matches,79,202,3,46.64,64.24,67.76,119,73.04
125,Abdenasser El Khayati,nl NED,"MF,FW",Chennaiyin,33,1989,12,577,48,32.1,8.8,6,78,3,6,18,1,1.42,17,17,0,0,0.07,Matches,296,53,151,54.56,61.6,66.88,111,64.24
126,Pritam Kotal,in IND,DF,Mohun Bagan,28,1993,20,1799,90,99.9,14.96,20,90,19,0,,0,1.67,24,17,7,0.35,0.35,Matches,413,79,181,67.76,71.28,66.88,76,48.4
127,Roy Krishna,fj FIJ,FW,Bengaluru,34,1987,18,1564,87,86.9,15.84,18,87,12,0,,0,1.77,22,20,2,0.12,-0.65,Matches,314,139,147,50.16,67.76,73.92,74,66
128,Ajith Kumar,in IND,DF,Chennaiyin,25,1996,15,1228,82,68.2,10.56,15,82,7,0,,1,1.13,15,21,-6,-0.44,-1.23,Matches,240,41,235,59.84,66,73.04,72,66
129,Anuj Kumar,in IND,GK,Hyderabad FC,24,1998,2,143,72,7.9,17.6,1,90,1,1,53,8,1.5,1,1,0,0,-1.09,Matches,141,140,30,66,73.92,81.84,80,58.08
130,Gurjinder Kumar,in IND,DF,NorthEast Utd,31,1990,11,905,82,50.3,14.08,10,84,8,1,64,5,0,5,27,-22,-2.19,-0.88,Matches,100,15,232,62.48,67.76,67.76,118,69.52
131,Nanda Kumar,in IND,"FW,MF",Odisha,26,1995,19,1564,82,86.9,9.68,19,82,10,0,,0,1.45,25,26,-1,-0.06,0.32,Matches,129,133,34,45.76,61.6,67.76,90,40.48
132,Naveen Kumar,in IND,GK,East Bengal,33,1989,0,,,,14.96,0,,0,0,,3,,,,,,,Matches,21,139,132,53.68,68.64,64.24,62,54.56
133,Niraj Kumar,in IND,GK,Odisha,19,2002,0,,,,11.44,0,,0,0,,9,,,,,,,Matches,22,151,87,64.24,73.04,72.16,69,72.16
134,Nishu Kumar,in IND,DF,Kerala Blasters,24,1997,16,1005,63,55.8,12.32,10,84,5,6,27,4,1.47,17,14,3,0.27,0.61,Matches,223,161,207,61.6,74.8,76.56,125,45.76
135,Pawan Kumar,in IND,GK,East Bengal,32,1990,0,,,,11.44,0,,0,0,,7,,,,,,,Matches,22,139,30,62.48,70.4,79.2,121,51.92
136,Rohit Kumar,in IND,MF,Bengaluru,25,1997,15,805,54,44.7,16.72,8,84,5,7,19,3,2,17,9,8,0.89,1.26,Matches,395,39,167,58.96,73.04,83.6,62,55.44
137,Ashique Kuruniyan,in IND,"MF,FW",Mohun Bagan,25,1997,16,1071,67,59.5,13.2,12,83,7,4,19,0,2,16,9,7,0.59,0.59,Matches,2,100,224,68.64,61.6,74.8,80,73.92
138,Carlos Delgado,cy CYP,"DF,MF",East Bengal,32,1989,18,1308,73,72.7,16.8,15,83,11,3,21,0,0.72,14,24,-10,-0.69,0.41,Matches,1261,496,302,88,88.99,73,98,69.76
139,Phurba Lachenpa,in IND,GK,Mumbai City,24,1998,20,1800,90,100,14.08,20,90,20,0,,0,2.14,54,21,33,1.65,,Matches,327,171,111,58.96,66.88,72.16,160,71
140,Emanuel Lalchhanchhuaha,in IND,MF,NorthEast Utd,20,2002,9,366,41,20.3,11.44,4,73,1,5,15,6,0,3,8,-5,-1.23,0.65,Matches,486,117,143,53.68,64.24,62.48,73,73.04
141,R Laldanmawia,in IND,MF,NorthEast Utd,29,1992,6,94,16,5.2,14.96,0,,0,6,16,4,0.67,3,3,0,0,1.85,Matches,348,167,21,51.04,63.36,67.76,70,44
142,Mehtab Singh,in IND,MF,Mumbai City,21,2000,16,1151,72,63.9,8.8,16,72,4,0,,1,2.18,38,17,21,1.64,-0.02,Matches,650.1,261,188,51.92,84.26,77.2,112,69
143,Ricky Lallawmawma,in IND,"DF,MF",Jamshedpur,30,1991,20,1795,90,99.7,8.8,20,90,19,0,,0,0.95,21,32,-11,-0.55,-0.55,Matches,248,134,229,54.56,74.8,76.56,69,71.28
144,Jerry Lalrinzuala,in IND,DF,East Bengal,24,1998,19,1498,79,83.2,12.32,16,88,14,3,29,0,1,18,32,-14,-0.84,-0.25,Matches,13,14,209,63.36,75.68,66,112,39.6
145,Lalruatthara,in IND,DF,Odisha,27,1995,4,151,38,8.4,17.6,1,53,0,3,33,13,1.25,3,1,2,1.19,1.41,Matches,340,92,154,66.88,71.28,66,46,60.72
146,K Lalthathanga,in IND,MF,Kerala Blasters,24,1998,6,362,60,20.1,17.6,4,84,0,2,13,2,1.5,5,8,-3,-0.75,-0.93,Matches,372,66,52,58.08,63.36,83.6,105,40.48
147,K Lalthathanga,in IND,MF,Mohun Bagan,24,1998,6,207,35,11.5,14.96,3,54,0,3,15,2,1.75,2,1,1,0.43,0.1,Matches,253,53,198,62.48,72.16,71.28,111,45.76
148,Lara,in IND,GK,Bengaluru,22,1999,0,,,,11.44,0,,0,0,,12,,,,,,,Matches,313,119,180,57.2,71.28,70.4,92,39.6
149,Marko LeÅ¡koviÄ‡,hr CRO,DF,Kerala Blasters,31,1991,14,1177,84,65.4,16.72,13,90,13,1,7,0,1.67,22,16,6,0.46,1.33,Matches,315,166,48,44,63.36,80.08,82,45.76
150,AdriÃ¡n Luna,uy URU,"MF,FW",Kerala Blasters,30,1992,19,1705,90,94.7,8.8,19,90,14,0,,0,1.55,27,26,1,0.05,1,Matches,101,77,18,62.48,67.76,72.16,115,56.32
151,Damaitphang Lyngdoh,in IND,MF,Bengaluru,18,2003,0,,,,12.32,0,,0,0,,1,,,,,,,Matches,114,154,48,57.2,66,68.64,66,40.48
152,Debjit Majumder,in IND,GK,Chennaiyin,34,1988,9,801,89,44.5,15.84,9,89,8,0,,7,1.56,20,19,1,0.11,0.29,Matches,147,115,249,54.56,64.24,66.88,110,50.16
153,Osama Malik,au AUS,DF,Odisha,31,1990,15,1095,73,60.8,10.56,15,73,7,0,,1,1.53,12,19,-7,-0.58,-1.21,Matches,270,38,174,66.88,73.04,76.56,101,58.08
154,Saurav Mandal,in IND,MF,Kerala Blasters,21,2000,13,252,19,14,11.44,2,66,0,11,11,3,1.23,2,3,-1,-0.36,-0.42,Matches,414,195,17,44.88,73.92,64.24,85,50.16
155,Pedro MartÃ­n,es ESP,"FW,MF",Odisha,30,1992,19,821,43,45.6,10.56,8,63,1,11,29,0,1.45,13,8,5,0.55,1.19,Matches,132,110,87,65.12,66.88,62.48,49,46.64
156,Glan Martins,in IND,MF,Goa,28,1994,9,471,52,26.2,8.8,4,67,0,5,41,2,1.78,7,6,1,0.19,0.19,Matches,359,58,151,62.48,66.88,61.6,103,44
157,Glan Martins,in IND,MF,Mohun Bagan,28,1994,6,472,79,26.2,13.2,6,79,2,0,,0,1.5,4,2,2,0.38,0.04,Matches,493,130,25,44.88,70.4,74.8,116,49.28
158,Diego MaurÃ­cio,br BRA,FW,Odisha,31,1991,20,1442,72,80.1,17.6,17,80,11,3,30,0,1.43,26,32,-6,-0.37,-1.38,Matches,485,49,154,54.56,62.48,75.68,114,72.16
159,Jerry Mawihmingthanga,in IND,"FW,MF",Odisha,25,1997,19,1301,68,72.3,8.8,13,83,7,6,38,0,1.45,22,23,-1,-0.07,0.11,Matches,68,187,63,58.96,67.76,80.08,59,50.16
160,Kule Mbombo,cd COD,"FW,MF",NorthEast Utd,26,1996,6,445,74,24.7,14.96,6,74,2,0,,1,0.33,4,15,-11,-2.22,-0.63,Matches,286,163,104,53.68,66,61.6,108,74.8
161,Carl McHugh,ie IRL,MF,Mohun Bagan,29,1993,17,1101,65,61.2,14.96,12,84,9,5,18,0,1.62,12,10,2,0.16,-0.48,Matches,115,162,11,55.44,67.76,71.28,98,44
162,Ninthoinganba Meetei,in IND,MF,Chennaiyin,21,2001,12,516,43,28.7,12.32,5,74,1,7,21,2,1.33,8,11,-3,-0.52,-0.66,Matches,77,138,239,67.76,62.48,73.04,68,50.16
163,Denechandra Meitei,in IND,DF,Odisha,28,1994,13,507,39,28.2,11.44,4,70,1,9,25,6,1.43,11,11,0,0,0.14,Matches,416,118,132,51.92,74.8,71.28,109,68.64
164,Carl McHugh,in IND,MF,NorthEast Utd,28,1994,10,900,90,50,15.88,10,90,10,0,,10,0.4,8,25,-17,-1.7,0.1,Matches,1223,461,400,48.4,89.3,79.2,163,71.77
165,Bryce Miranda,in IND,MF,Kerala Blasters,22,1999,12,351,29,19.5,14.08,4,62,0,8,13,6,1.25,4,2,2,0.51,0.64,Matches,261,164,104,51.92,66,61.6,163,61.6
166,Dipu Mirdha,in IND,FW,NorthEast Utd,23,1999,0,,,,9.68,0,,0,0,,4,,,,,,,Matches,100,117,116,67.76,64.24,80.96,82,62.48
167,Akash Mishra,in IND,DF,Hyderabad FC,20,2001,17,1530,90,85,13.2,17,90,17,0,,0,2.11,29,10,19,1.12,0.78,Matches,471,202,34,44.88,67.76,80.08,63,44.88
168,Samik Mitra,in IND,GK,Chennaiyin,21,2000,10,900,90,50,9.68,10,90,10,0,,2,1.3,16,16,0,0,0.1,Matches,402,101,149,47.52,70.4,79.2,93,67.76
169,Yasir Mohammad,in IND,MF,Hyderabad FC,22,1999,18,1503,84,83.5,14.96,18,84,3,0,,0,2.05,25,12,13,0.78,-1.34,Matches,25,132,76,64.24,71.28,73.04,75,53.68
170,Manoj Mohammed,in IND,DF,Hyderabad FC,23,1999,3,270,90,15,11.44,3,90,3,0,,17,1.33,7,6,1,0.33,-0.78,Matches,137,108,183,51.04,73.04,83.6,53,44.88
171,Vibin Mohanan,in IND,MF,Kerala Blasters,19,2003,3,102,34,5.7,8.8,1,90,1,2,6,6,0.75,0,1,-1,-0.88,-0.94,Matches,314,154,136,55.44,66.88,70.4,62,46.64
172,Fardin Molla,in IND,FW,Mohun Bagan,20,2002,10,113,11,6.3,16.72,1,45,0,9,8,10,0.6,1,2,-1,-0.8,-1.22,Matches,165,69,207,59.84,66,61.6,122,49.28
173,Hira Mondal,in IND,DF,NorthEast Utd,25,1996,6,390,65,21.7,15.84,5,74,3,1,18,0,0.33,7,13,-6,-1.38,0.47,Matches,265,114,179,53.68,73.92,61.6,106,62.48
174,Hira Mondal,in IND,DF,Bengaluru,25,1996,0,,,,8.8,0,,0,0,,1,,,,,,,Matches,44,60,72,58.96,65.12,64.24,54,58.08
175,VÃ­ctor Mongil,es ESP,DF,Kerala Blasters,30,1992,18,758,42,42.1,11.44,8,87,7,10,6,1,1.63,7,15,-8,-0.95,-1.64,Matches,506,139,134,55.44,66,74.8,94,55.44
176,Jithin MS,in IND,"FW,MF",NorthEast Utd,24,1998,16,1034,65,57.4,14.96,12,75,3,4,33,1,0.13,10,35,-25,-2.18,-1,Matches,483,170,106,51.04,66.88,79.2,73,53.68
177,Wungngayam Muirang,in IND,DF,Bengaluru,23,1999,0,,,,15.84,0,,0,0,,5,,,,,,,Matches,517,182,237,68.64,73.04,66,61,44
178,Ankit Mukherjee,in IND,DF,East Bengal,26,1996,10,682,68,37.9,14.08,9,76,5,1,2,2,1.2,8,16,-8,-1.06,-0.41,Matches,462,125,65,53.68,68.64,78.32,47,63.36
179,Devendra Murgaokar,in IND,MF,Goa,23,1998,12,372,31,20.7,14.96,4,69,0,8,12,8,1.42,12,13,-1,-0.24,-0.37,Matches,344,53,248,48.4,65.12,66,55,42.24
180,Halicharan Narzary,in IND,MF,Hyderabad FC,27,1994,17,1248,73,69.3,13.2,15,78,3,2,38,0,2.11,25,7,18,1.3,0.97,Matches,99,43,31,64.24,70.4,81.84,110,45.76
181,Kiyan Nassiri,in IND,MF,Mohun Bagan,21,2000,14,286,20,15.9,14.08,1,74,0,13,16,5,1.31,4,3,1,0.31,-0.04,Matches,466,135,137,54.56,61.6,74.8,63,44.88
182,Mohammad Nawaz,in IND,GK,Mumbai City,22,2000,0,,,,9.68,0,,0,0,,10,,,,,,,Matches,266,182,60,69.52,71.28,61.6,51,51.92
183,Gyamar Nikum,in IND,MF,Mumbai City,17,2004,1,8,8,0.4,12.32,0,,0,1,8,0,0,0,0,0,0,-1.66,Matches,293,150,212,52.8,64.24,66,94,63.36
184,Alberto Noguera,es ESP,MF,Mumbai City,32,1989,19,896,47,49.8,11.44,6,87,5,13,29,1,2.15,20,9,11,1.1,-1.09,Matches,54,108,84,57.2,71.28,69.52,68,44.88
185,Rupert Nongrum,in IND,MF,NorthEast Utd,25,1996,1,7,7,0.4,17.6,0,,0,1,7,4,0,0,2,-2,-25.71,-24.06,Matches,179,98,186,47.52,66.88,62.48,71,64.24
186,Halen Nongtdu,in IND,DF,Mumbai City,18,2004,1,90,90,5,14.08,1,90,1,0,,3,0,0,1,-1,-1,-2.79,Matches,249,164,155,56.32,69.52,63.36,83,51.92
187,Jordan O'Doherty,au AUS,MF,East Bengal,24,1997,18,1105,61,61.4,12.32,13,82,8,5,8,1,0.89,15,27,-12,-0.98,-0.46,Matches,100,149,235,49.28,61.6,71.28,80,47.52
188,Bartholomew Ogbeche,ng NGA,"MF,FW",Hyderabad FC,37,1984,19,1453,76,80.7,14.96,17,83,8,2,23,0,1.95,31,13,18,1.11,0.6,Matches,309,95,192,64.24,65.12,71.28,81,44.88
189,Odei Onaindia,es ESP,DF,Hyderabad FC,32,1989,19,1710,90,95,16.72,19,90,19,0,,1,2.1,34,13,21,1.11,2.11,Matches,297,121,159,54.56,70.4,83.6,89,61.6
190,Ishan Pandita,in IND,FW,Jamshedpur,24,1998,17,634,37,35.2,13.2,6,83,5,11,13,2,0.88,7,11,-4,-0.57,-0.03,Matches,438,81,190,58.96,74.8,81.84,77,46.64
191,Sahil Panwar,in IND,DF,Odisha,22,1999,17,1323,78,73.5,12.32,16,80,11,1,45,1,1.33,19,22,-3,-0.2,-0.39,Matches,8,16,138,52.8,61.6,77.44,116,63.36
192,Sumeet Passi,in IND,"MF,FW",East Bengal,27,1994,11,426,39,23.7,9.68,4,75,2,7,18,7,0.64,7,15,-8,-1.69,-1.17,Matches,392,94,41,44.88,70.4,75.68,60,55.44
193,Laldinpuia PC,in IND,"MF,DF",Jamshedpur,25,1996,8,300,38,16.7,11.44,4,53,0,4,23,2,0.75,2,7,-5,-1.5,-1.14,Matches,134,126,80,53.68,68.64,68.64,50,71.28
194,Sanson Pereira,in IND,DF,Goa,24,1997,12,678,57,37.7,14.96,6,81,2,6,33,3,1,15,15,0,0,-0.08,Matches,482,110,122,60.72,75.68,64.24,84,49.28
195,Jorge Pereyra DÃ­az,ar ARG,FW,Mumbai City,31,1990,18,1289,72,71.6,10.56,16,78,6,2,24,1,2.2,46,15,31,2.16,1.81,Matches,54,69,47,68.64,72.16,61.6,104,57.2
196,Pablo PÃ©rez,es ESP,MF,Bengaluru,28,1993,11,226,21,12.6,16.72,1,69,0,10,16,0,2.07,6,3,3,1.19,1.14,Matches,252,144,185,54.56,65.12,69.52,78,54.56
197,Dimitri Petratos,au AUS,FW,Mohun Bagan,29,1992,19,1668,88,92.7,11.44,19,88,16,0,,0,1.61,23,16,7,0.38,0.38,Matches,228,88,118,54.56,66,79.2,103,49.28
198,Romain Philippoteaux,fr FRA,"MF,FW",NorthEast Utd,34,1988,18,1332,74,74,15.84,16,81,9,2,21,0,0.28,13,41,-28,-1.89,-0.55,Matches,518,26,28,60.72,75.68,73.92,103,60.72
199,Florentin Pogba,gn GUI,DF,Mohun Bagan,31,1990,2,30,15,1.7,14.08,0,,0,2,15,1,3,2,1,1,3,2.69,Matches,438,53,191,52.8,73.04,70.4,94,64.24
200,Nikhil Poojari,in IND,DF,Hyderabad FC,26,1995,19,1631,86,90.6,12.32,19,86,13,0,,1,2.1,33,12,21,1.16,1.69,Matches,370,174,5,52.8,66.88,74.8,78,48.4
201,Nikhil Prabhu,in IND,DF,Odisha,21,2000,3,93,31,5.2,14.96,0,,0,3,31,9,2,5,1,4,3.87,4.19,Matches,214,179,194,51.92,71.28,69.52,58,61.6
202,Nikhil Prabhu,in IND,DF,Goa,21,2000,2,74,37,4.1,17.6,0,,0,2,37,2,0,1,3,-2,-2.43,-2.59,Matches,72,110,20,44,61.6,78.32,120,72.16
203,Wellington Priori,br BRA,"MF,FW",Jamshedpur,32,1990,6,356,59,19.8,8.8,5,68,3,1,17,0,0.67,4,6,-2,-0.51,0.06,Matches,286,84,13,59.84,67.76,73.92,82,49.28
204,Mohammed Rafique,in IND,DF,Chennaiyin,29,1992,3,112,37,6.2,14.96,1,90,1,2,11,11,1,8,4,4,3.21,3.48,Matches,331,178,106,45.76,69.52,79.2,78,52.8
205,Mobashir Rahman,in IND,MF,East Bengal,24,1998,13,802,62,44.6,10.56,9,81,4,4,17,5,0.92,9,17,-8,-0.9,-0.18,Matches,391,14,218,60.72,66.88,66.88,100,54.56
206,Asish Rai,in IND,"DF,MF",Mohun Bagan,23,1999,20,1724,86,95.8,16.72,20,86,12,0,,0,1.67,20,15,5,0.26,-2.11,Matches,157,82,126,58.96,70.4,66,124,42.24
207,Vinit Rai,in IND,"MF,DF",Mumbai City,24,1997,10,424,42,23.6,14.96,4,67,0,6,26,5,2.64,16,4,12,2.55,1.17,Matches,34,26,140,49.28,64.24,62.48,59,49.28
